50.9325 	EXP 	grating: autoDraw = True
51.2325 	EXP 	grating: autoDraw = False
51.2675 	EXP 	New trial (rep=38, index=0): <Trial 38 (0 in rep 38) data={'thisN': 38, 'thisTrialN': 0, 'thisRepN': 38}>
51.2686 	DATA 	Keypress: up
51.2822 	EXP 	Fixation: autoDraw = False
51.2822 	EXP 	grating: autoDraw = False
51.2822 	EXP 	grating: ori = 2.0
51.2822 	EXP 	Fixation: autoDraw = True
52.2824 	INFO 	Keyboard events cleared
52.2819 	EXP 	Fixation: autoDraw = False
52.2819 	EXP 	grating: autoDraw = True
52.5666 	EXP 	New trial (rep=39, index=0): <Trial 39 (0 in rep 39) data={'thisN': 39, 'thisTrialN': 0, 'thisRepN': 39}>
52.5677 	DATA 	Keypress: down
52.5816 	EXP 	grating: autoDraw = False
52.5816 	EXP 	Fixation: autoDraw = False
52.5816 	EXP 	grating: autoDraw = False
52.5816 	EXP 	grating: ori = 0.0
52.5816 	EXP 	Fixation: autoDraw = True
53.5824 	INFO 	Keyboard events cleared
53.5819 	EXP 	Fixation: autoDraw = False
53.5819 	EXP 	grating: autoDraw = True
53.8818 	EXP 	grating: autoDraw = False
53.8829 	EXP 	New trial (rep=40, index=0): <Trial 40 (0 in rep 40) data={'thisN': 40, 'thisTrialN': 0, 'thisRepN': 40}>
53.8841 	DATA 	Keypress: down
53.8980 	EXP 	Fixation: autoDraw = False
53.8980 	EXP 	grating: autoDraw = False
53.8980 	EXP 	grating: ori = 0.0
53.8980 	EXP 	Fixation: autoDraw = True
54.8978 	INFO 	Keyboard events cleared
54.8972 	EXP 	Fixation: autoDraw = False
54.8972 	EXP 	grating: autoDraw = True
55.0152 	EXP 	New trial (rep=41, index=0): <Trial 41 (0 in rep 41) data={'thisN': 41, 'thisTrialN': 0, 'thisRepN': 41}>
55.0164 	DATA 	Keypress: down
55.0304 	EXP 	Fixation: autoDraw = False
55.0304 	EXP 	grating: autoDraw = False
55.0304 	EXP 	grating: ori = 0.0
55.0304 	EXP 	Fixation: autoDraw = True
56.0312 	INFO 	Keyboard events cleared
56.0306 	EXP 	Fixation: autoDraw = False
56.0306 	EXP 	grating: autoDraw = True
56.3304 	EXP 	grating: autoDraw = False
56.4642 	EXP 	New trial (rep=42, index=0): <Trial 42 (0 in rep 42) data={'thisN': 42, 'thisTrialN': 0, 'thisRepN': 42}>
56.4653 	DATA 	Keypress: down
56.4798 	EXP 	Fixation: autoDraw = False
56.4798 	EXP 	grating: autoDraw = False
56.4798 	EXP 	grating: ori = 1.0
56.4798 	EXP 	Fixation: autoDraw = True
57.4634 	INFO 	Keyboard events cleared
57.4630 	EXP 	grating: autoDraw = True
57.4803 	EXP 	Fixation: autoDraw = False
57.7632 	EXP 	grating: autoDraw = False
57.9479 	EXP 	New trial (rep=43, index=0): <Trial 43 (0 in rep 43) data={'thisN': 43, 'thisTrialN': 0, 'thisRepN': 43}>
57.9491 	DATA 	Keypress: down
57.9634 	EXP 	Fixation: autoDraw = False
57.9634 	EXP 	grating: autoDraw = False
57.9634 	EXP 	grating: ori = 0.0
57.9634 	EXP 	Fixation: autoDraw = True
58.8138 	DATA 	Keypress: down
58.9630 	INFO 	Keyboard events cleared
58.9625 	EXP 	Fixation: autoDraw = False
58.9625 	EXP 	grating: autoDraw = True
59.2623 	EXP 	grating: autoDraw = False
59.3639 	EXP 	New trial (rep=44, index=0): <Trial 44 (0 in rep 44) data={'thisN': 44, 'thisTrialN': 0, 'thisRepN': 44}>
59.3650 	DATA 	Keypress: down
59.3791 	EXP 	Fixation: autoDraw = False
59.3791 	EXP 	grating: autoDraw = False
59.3791 	EXP 	grating: ori = 2.0
59.3791 	EXP 	Fixation: autoDraw = True
60.3797 	INFO 	Keyboard events cleared
60.3793 	EXP 	Fixation: autoDraw = False
60.3793 	EXP 	grating: autoDraw = True
60.6786 	EXP 	grating: autoDraw = False
60.9129 	EXP 	New trial (rep=45, index=0): <Trial 45 (0 in rep 45) data={'thisN': 45, 'thisTrialN': 0, 'thisRepN': 45}>
60.9141 	DATA 	Keypress: up
60.9285 	EXP 	Fixation: autoDraw = False
60.9285 	EXP 	grating: autoDraw = False
60.9285 	EXP 	grating: ori = 0.0
60.9285 	EXP 	Fixation: autoDraw = True
61.9280 	INFO 	Keyboard events cleared
61.9276 	EXP 	Fixation: autoDraw = False
61.9276 	EXP 	grating: autoDraw = True
62.1796 	EXP 	New trial (rep=46, index=0): <Trial 46 (0 in rep 46) data={'thisN': 46, 'thisTrialN': 0, 'thisRepN': 46}>
62.1808 	DATA 	Keypress: up
62.1945 	EXP 	Fixation: autoDraw = False
62.1945 	EXP 	grating: autoDraw = False
62.1945 	EXP 	grating: ori = 0.0
62.1945 	EXP 	Fixation: autoDraw = True
63.1945 	INFO 	Keyboard events cleared
63.1940 	EXP 	Fixation: autoDraw = False
63.1940 	EXP 	grating: autoDraw = True
